AskedPrice,FinalPrice,Surface,Room number,Sold date
3495000,4100000,88.4,3,2015-09-22,
1995000,2410000,41,1,2015-09-22,
1995000,2460000,41,1,2015-09-22,
8300000,8000000,213,6,2015-09-18,
5200000,5535000,104,4,2015-09-18,
7950000,8700000,180,5,2015-09-17,
11200000,11200000,211,8,2015-09-17,
1475000,1870000,26,1,2015-09-16,
2095000,2980000,59,3,2015-09-16,
2595000,2980000,78,4,2015-09-16,
6995000,7075000,90,3,2015-09-16,
2550000,2850000,67,2.5,2015-09-16,
1990000,2400000,34,1.5,2015-09-16,
2500000,2840000,68,2,2015-09-16,
2650000,2900000,74,3,2015-09-16,
2700000,2700000,53,2,2015-09-14,
6100000,6800000,130,6,2015-09-14,
9900000,9900000,127,5,2015-09-14,
2795000,2800000,59,3,2015-09-13,
6550000,6750000,70,5,2015-09-11,
5200000,5600000,118,4,2015-09-11,
8950000,9025000,150,5,2015-09-10,
5950000,6100000,104,5,2015-09-10,
6150000,6500000,104,3,2015-09-10,
8450000,8200000,150,6,2015-09-10,
7950000,7950000,145,6,2015-09-09,
1750000,2060000,29,2,2015-09-09,
2895000,3750000,88.5,4,2015-09-09,
3350000,3100000,92.8,4,2015-09-09,
3995000,4250000,77.5,3,2015-09-09,
2650000,2800000,82,4,2015-09-09,
2750000,3900000,78.6,4,2015-09-08,
2495000,2495000,59,2,2015-09-08,
2795000,2795000,61,3,2015-09-07,
2750000,2950000,78,5,2015-09-06,
1425000,1650000,25.5,1,2015-09-06,
13900000,14000000,158,6,2015-09-05,
9950000,11900000,173,8,2015-09-05,
3350000,3450000,74.5,3,2015-09-04,
1795000,1800000,38.9,1,2015-09-04,
2775000,3100000,72,3,2015-09-04,
3495000,3600000,75,3,2015-09-04,
2650000,3050000,72,3,2015-09-04,
2195000,2600000,53.5,2,2015-09-04,
4230000,4230000,70.7,3,2015-09-04,
3295000,3545000,63.9,3,2015-09-04,
1950000,2385000,35,1,2015-09-03,
6450000,7030000,120,5,2015-09-03,
4200000,4580000,83,3,2015-09-03,
1375000,1650000,26.3,1,2015-09-03,
2850000,3550000,52,2,2015-09-02,
2475000,2900000,69.5,3,2015-09-01,
1790000,2250000,41,1,2015-09-01,
2950000,3075000,78.3,3,2015-09-01,
3975000,4800000,101.7,4,2015-09-01,
1790000,2350000,41,1,2015-08-31,
3875000,5000000,82,3,2015-08-31,
1750000,2030000,36.1,1,2015-08-29,
2450000,2850000,69.5,3,2015-08-27,
3650000,4050000,94.5,4,2015-08-26,
2950000,3600000,64,2,2015-08-26,
2650000,3010000,74,3,2015-08-26,
3295000,3185000,74,3,2015-08-25,
3050000,3450000,78.4,3,2015-08-23,
2725000,3000000,46,2,2015-08-21,
1850000,2040000,32.3,1,2015-08-20,
3995000,4230000,91,4,2015-08-20,
2695000,2720000,63,3,2015-08-19,
2495000,2985000,63.3,2,2015-08-18,
2795000,3650000,78.5,3,2015-08-18,
2995000,3910000,77.5,4,2015-08-18,
2495000,2770000,48,1.5,2015-08-18,
6490000,7000000,96,4,2015-08-18,
